cell,x_cm,g1,g2,g3,g4,g5,g6,g7
135,14.021927602337598,0.19240842247644594E+20,0.55440615460449780E+20,0.22601965947877970E+20,0.67120870810782525E+19,0.47467288837737544E+19,0.37538497905881108E+19,0.26954653052318761E+19
136,14.126700538939822,0.19256635426074890E+20,0.55530183997234782E+20,0.22555658426273571E+20,0.66605853329032755E+19,0.47349932579345900E+19,0.37040386102031846E+19,0.25381873085736166E+19
137,14.230370603563124,0.19268784825659843E+20,0.55590392160458039E+20,0.22523453732224692E+20,0.66220105134913147E+19,0.47294927669060035E+19,0.36857643626378778E+19,0.24962374979714857E+19
138,14.334040668186425,0.19276662177146757E+20,0.55632300685935731E+20,0.22500099880583688E+20,0.65943963206556959E+19,0.47254946423808379E+19,0.36726757129430912E+19,0.24663942826996777E+19
139,14.437710732809727,0.19280327080347939E+20,0.55655982814767931E+20,0.22485585248535417E+20,0.65776936338824827E+19,0.47229989760785213E+19,0.36647548581650985E+19,0.24485034518698742E+19
140,14.541380797433028,0.19279815126943699E+20,0.55661483066871210E+20,0.22479902670603633E+20,0.65718727609888512E+19,0.47220057921071432E+19,0.36619910160021750E+19,0.24424725796865382E+19
141,14.645050862056330,0.19275138059040461E+20,0.55648817419929747E+20,0.22483049434483470E+20,0.65769233844373504E+19,0.47225150487749775E+19,0.36643804170897987E+19,0.24482705387493120E+19
142,14.748720926679631,0.19266283822649770E+20,0.55617973370024141E+20,0.22495027279477064E+20,0.65928545426917765E+19,0.47245266391999570E+19,0.36719263021813386E+19,0.24659273361839437E+19
143,14.852390991302933,0.19253216516352319E+20,0.55568909874239357E+20,0.22515842397529952E+20,0.66196946465807852E+19,0.47280403907183514E+19,0.36846389242374205E+19,0.24955342717338752E+19
144,14.956061055926234,0.19235876234893083E+20,0.55501557174962676E+20,0.22545505436870103E+20,0.66574915306989373E+19,0.47330560630914007E+19,0.37025355554101960E+19,0.25372444186499983E+19
145,15.060833992528458,0.19215114968207860E+20,0.55403864001672249E+20,0.22588942894069932E+20,0.67081802469917635E+19,0.47439781989125847E+19,0.37515413084401367E+19,0.26938147417588168E+19
146,15.166709801109608,0.19207092737561108E+20,0.55364479009133486E+20,0.22604018261663060E+20,0.67254152005276334E+19,0.47487891437485302E+19,0.37761860487755069E+19,0.27798774008742380E+19
